time,period,ips,ops,eps,capacity,actions,ipa,opa,epa,mininal
08:30,3,2,0,0,3,(2 0 0),2,0,0,"$16,37"
08:30,3,2,0,1,3,(2 0 1),2,0,1,"$16,37"
08:30,3,2,1,0,3,(2 1 0),2,1,0,"$24,55"
08:30,3,2,1,1,3,(1 1 1;2 0 1),1,1,1,"$27,28"
08:30,3,2,2,0,3,(1 2 0;2 1 0),1,2,0,"$35,47"
08:30,3,2,2,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$38,19"
08:30,3,2,3,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$46,38"
08:30,3,2,3,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$51,83"
08:30,3,2,4,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$60,02"
08:30,3,2,4,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$65,47"
08:30,3,2,5,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$73,66"
08:30,3,2,5,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$79,12"
08:30,3,3,0,0,3,(3 0 0),3,0,0,"$24,55"
08:30,3,3,0,1,3,(2 0 1),2,0,1,"$27,28"
08:30,3,3,1,0,3,(2 1 0;3 0 0),3,0,0,"$35,47"
08:30,3,3,1,1,3,(1 1 1;2 0 1),1,1,1,"$38,19"
08:30,3,3,2,0,3,(1 2 0;2 1 0;3 0 0),1,2,0,"$46,38"
08:30,3,3,2,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$51,83"
08:30,3,3,3,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$60,02"
08:30,3,3,3,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$65,47"
08:30,3,3,4,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$73,66"
08:30,3,3,4,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$79,12"
08:45,4,0,0,0,2,(0 0 0),0,0,0,"$0,00"
08:45,4,0,0,1,2,(0 0 1),0,0,1,"$0,00"
08:45,4,0,1,0,2,(0 1 0),0,1,0,"$10,91"
08:45,4,0,1,1,2,(0 1 1),0,1,1,"$10,91"
08:45,4,0,2,0,2,(0 2 0),0,2,0,"$21,82"
08:45,4,0,2,1,2,(0 1 1),0,1,1,"$24,55"
08:45,4,0,3,0,2,(0 2 0),0,2,0,"$35,47"
08:45,4,0,3,1,2,(0 1 1),0,1,1,"$38,19"
08:45,4,0,4,0,2,(0 2 0),0,2,0,"$49,11"
